1,talk,82,5,8,Over
1,talk,83,5,11,VOTE Agent[09]
1,talk,84,5,14,VOTE Agent[03]
1,talk,85,5,4,VOTE Agent[03]
1,talk,86,5,9,Over
1,talk,87,5,6,Over
1,talk,88,5,15,Over
1,talk,89,5,12,Over
1,talk,90,6,5,Over
1,talk,91,6,11,VOTE Agent[02]
1,talk,92,6,10,VOTE Agent[03]
1,talk,93,6,1,Over
1,talk,94,6,8,Over
1,talk,95,6,12,Over
1,talk,96,6,2,Over
1,talk,97,6,14,VOTE Agent[03]
1,talk,98,6,7,Over
1,talk,99,6,3,VOTE Agent[04]
1,talk,100,6,9,Over
1,talk,101,6,6,Over
1,talk,102,6,13,Skip
1,talk,103,6,15,Over
1,talk,104,6,4,VOTE Agent[03]
1,talk,105,7,15,Over
1,talk,106,7,11,VOTE Agent[01]
1,talk,107,7,13,Over
1,talk,108,7,5,Over
1,talk,109,7,12,Over
1,talk,110,7,10,VOTE Agent[03]
1,talk,111,7,2,Over
1,talk,112,7,14,VOTE Agent[03]
1,talk,113,7,6,Over
1,talk,114,7,3,VOTE Agent[04]
1,talk,115,7,4,VOTE Agent[03]
1,talk,116,7,7,Over
1,talk,117,7,1,Over
1,talk,118,7,8,Over
1,talk,119,7,9,Over
1,talk,120,8,12,Over
1,talk,121,8,1,Over
1,talk,122,8,9,Over
1,talk,123,8,4,VOTE Agent[03]
1,talk,124,8,10,VOTE Agent[03]
1,talk,125,8,5,Over
1,talk,126,8,14,VOTE Agent[03]
1,talk,127,8,8,Over
1,talk,128,8,15,Over
1,talk,129,8,6,Over
1,talk,130,8,11,Skip
1,talk,131,8,7,Over
1,talk,132,8,3,VOTE Agent[04]
1,talk,133,8,13,VOTE Agent[02]
1,talk,134,8,2,Over
1,talk,135,9,2,Over
1,talk,136,9,10,Over
1,talk,137,9,6,Over
1,talk,138,9,9,Over
1,talk,139,9,8,Over
1,talk,140,9,3,Over
1,talk,141,9,12,Over
1,talk,142,9,15,Over
1,talk,143,9,13,VOTE Agent[01]
1,talk,144,9,11,Skip
1,talk,145,9,1,Over
1,talk,146,9,14,Over
1,talk,147,9,4,Over
1,talk,148,9,7,Over
1,talk,149,9,5,Over
1,talk,150,10,10,Over
1,talk,151,10,2,Over
1,talk,152,10,15,Over
1,talk,153,10,6,Over
1,talk,154,10,3,Over
1,talk,155,10,1,Over
1,talk,156,10,14,Over
1,talk,157,10,11,Over
1,talk,158,10,9,Over
1,talk,159,10,5,Over
1,talk,160,10,4,Over
1,talk,161,10,13,VOTE Agent[02]
1,talk,162,10,7,Over
1,talk,163,10,8,Over
1,talk,164,10,12,Over
1,talk,165,11,9,Over
1,talk,166,11,7,Over
1,talk,167,11,14,Over
1,talk,168,11,1,Over
1,talk,169,11,4,Over
1,talk,170,11,10,Over
1,talk,171,11,12,Over
1,talk,172,11,3,Over
1,talk,173,11,11,Over
1,talk,174,11,8,Over
1,talk,175,11,2,Over
1,talk,176,11,6,Over
1,talk,177,11,13,VOTE Agent[01]
1,talk,178,11,5,Over
1,talk,179,11,15,Over
1,talk,180,12,15,Over
1,talk,181,12,4,Over
1,talk,182,12,14,Over
1,talk,183,12,6,Over
1,talk,184,12,12,Over
1,talk,185,12,13,VOTE Agent[02]
1,talk,186,12,10,Over
1,talk,187,12,8,Over
1,talk,188,12,5,Over
1,talk,189,12,1,Over
1,talk,190,12,11,Over
1,talk,191,12,2,Over
1,talk,192,12,7,Over
1,talk,193,12,9,Over
1,talk,194,12,3,Over
1,talk,195,13,7,Over
1,talk,196,13,6,Over
1,talk,197,13,15,Over
1,talk,198,13,14,Over
1,talk,199,13,10,Over
1,talk,200,13,9,Over
1,talk,201,13,1,Over
1,talk,202,13,4,Over
1,talk,203,13,8,Over
1,talk,204,13,2,Over
1,talk,205,13,3,Over
1,talk,206,13,5,Over
1,talk,207,13,13,Over
1,talk,208,13,12,Over
1,talk,209,13,11,VOTE Agent[02]
1,talk,210,14,4,Over
1,talk,211,14,7,Over
1,talk,212,14,8,Over
1,talk,213,14,10,Over
1,talk,214,14,3,Over
1,talk,215,14,5,Over
1,talk,216,14,12,Over
1,talk,217,14,1,Over
1,talk,218,14,15,Over
1,talk,219,14,14,Over
1,talk,220,14,13,Over
1,talk,221,14,6,Over
1,talk,222,14,9,Over
1,talk,223,14,11,Skip
1,talk,224,14,2,Over
1,talk,225,15,11,Skip
1,talk,226,15,15,Over
1,talk,227,15,12,Over
1,talk,228,15,3,Over
1,talk,229,15,8,Over
1,talk,230,15,2,Over
1,talk,231,15,13,Over
1,talk,232,15,14,Over
1,talk,233,15,5,Over
1,talk,234,15,7,Over
1,talk,235,15,9,Over
1,talk,236,15,6,Over
1,talk,237,15,4,Over
1,talk,238,15,1,Over
1,talk,239,15,10,Over
1,talk,240,16,7,Over
1,talk,241,16,8,Over
1,talk,242,16,12,Over
1,talk,243,16,11,Over
1,talk,244,16,14,Over
1,talk,245,16,4,Over
1,talk,246,16,6,Over
1,talk,247,16,13,Over
1,talk,248,16,5,VOTE Agent[02]
1,talk,249,16,15,Over
1,talk,250,16,2,Over
1,talk,251,16,10,Over
1,talk,252,16,9,Over
1,talk,253,16,1,Over
1,talk,254,16,3,Over
1,talk,255,17,6,Over
1,talk,256,17,8,Over
1,talk,257,17,15,Over
1,talk,258,17,10,Over
1,talk,259,17,7,Over
1,talk,260,17,12,Over
1,talk,261,17,14,Over
1,talk,262,17,3,Over
1,talk,263,17,13,Over
1,talk,264,17,11,Over
1,talk,265,17,5,Skip
1,talk,266,17,2,Over
1,talk,267,17,1,Over
1,talk,268,17,4,Over
1,talk,269,17,9,Over
1,talk,270,18,8,Over
1,talk,271,18,14,Over
1,talk,272,18,10,Over
1,talk,273,18,2,Over
1,talk,274,18,5,Skip
1,talk,275,18,15,Over
1,talk,276,18,3,Over
1,talk,277,18,13,Over
1,talk,278,18,11,Over
1,talk,279,18,1,Over
1,talk,280,18,4,Over
1,talk,281,18,7,Over
1,talk,282,18,6,Over
1,talk,283,18,12,Over
1,talk,284,18,9,Over
1,talk,285,19,8,Over
1,talk,286,19,11,Over
1,talk,287,19,14,Over
1,talk,288,19,6,Over
1,talk,289,19,12,Over
1,talk,290,19,4,Over
1,talk,291,19,5,Over
1,talk,292,19,10,Over
1,talk,293,19,9,Over
1,talk,294,19,2,Over
1,talk,295,19,13,Over
1,talk,296,19,7,Over
1,talk,297,19,3,Over
1,talk,298,19,15,Over
1,talk,299,19,1,Over
1,vote,1,2
1,vote,2,1
1,vote,3,4
1,vote,4,3
1,vote,5,2
1,vote,6,3
1,vote,7,10
1,vote,8,3
1,vote,9,14
1,vote,10,3
1,vote,11,2
1,vote,12,3
1,vote,13,1
1,vote,14,3
1,vote,15,4
1,execute,3,POSSESSED
1,divine,10,4,HUMAN
1,whisper,0,0,13,Skip
1,whisper,1,0,12,ATTACK Agent[10]
1,whisper,2,0,7,ATTACK Agent[10]
1,whisper,3,1,7,Skip
1,whisper,4,1,12,Skip
1,whisper,5,1,13,Skip
1,whisper,6,2,13,Over
1,whisper,7,2,7,Skip
1,whisper,8,2,12,Skip
1,whisper,9,3,12,Over
1,whisper,10,3,13,Over
1,whisper,11,3,7,Over
1,guard,14,7,WEREWOLF
1,attackVote,7,10
1,attackVote,12,10
1,attackVote,13,11
1,attack,10,true
2,status,1,VILLAGER,ALIVE,TOKU14
2,status,2,MEDIUM,ALIVE,TOKU6
2,status,3,POSSESSED,DEAD,OKAMI
2,status,4,VILLAGER,ALIVE,HALU
2,status,5,VILLAGER,ALIVE,Takeda11
2,status,6,VILLAGER,ALIVE,Tomato3
2,status,7,WEREWOLF,ALIVE,sample_py
2,status,8,VILLAGER,ALIVE,Tomato4
2,status,9,VILLAGER,ALIVE,SampleJava1
2,status,10,SEER,DEAD,HALU
2,status,11,VILLAGER,ALIVE,TOKU0
2,status,12,WEREWOLF,ALIVE,sample_py
2,status,13,WEREWOLF,ALIVE,Takeda8
2,status,14,BODYGUARD,ALIVE,HALU
2,status,15,VILLAGER,ALIVE,SampleJava9
2,talk,0,0,13,VOTE Agent[01]
2,talk,1,0,11,VOTE Agent[02]
2,talk,2,0,5,VOTE Agent[02]
2,talk,3,0,12,VOTE Agent[04]
2,talk,4,0,7,DIVINED Agent[01] HUMAN
2,talk,5,0,15,VOTE Agent[09]
2,talk,6,0,6,VOTE Agent[02]
2,talk,7,0,14,VOTE Agent[13]
2,talk,8,0,1,VOTE Agent[02]
2,talk,9,0,8,VOTE Agent[02]
2,talk,10,0,4,VOTE Agent[15]
2,talk,11,0,9,VOTE Agent[13]
2,talk,12,0,2,IDENTIFIED Agent[03] HUMAN
2,talk,13,1,2,Skip
2,talk,14,1,12,Skip
2,talk,15,1,14,VOTE Agent[09]
2,talk,16,1,13,Skip
2,talk,17,1,15,REQUEST ANY (VOTE Agent[09])
2,talk,18,1,1,Skip
2,talk,19,1,11,VOTE Agent[01]
2,talk,20,1,6,Skip
2,talk,21,1,5,VOTE Agent[01]
2,talk,22,1,8,VOTE Agent[01]
2,talk,23,1,4,VOTE Agent[15]
2,talk,24,1,9,REQUEST ANY (VOTE Agent[13])
2,talk,25,1,7,VOTE Agent[11]
2,talk,26,2,13,Skip
2,talk,27,2,5,Skip
2,talk,28,2,14,VOTE Agent[12]
2,talk,29,2,4,VOTE Agent[15]
2,talk,30,2,1,Skip
2,talk,31,2,12,Skip
2,talk,32,2,2,Skip
2,talk,33,2,7,Skip
2,talk,34,2,9,Skip
2,talk,35,2,15,Skip
2,talk,36,2,8,VOTE Agent[02]
2,talk,37,2,11,Skip
2,talk,38,2,6,VOTE Agent[01]
2,talk,39,3,15,Skip
2,talk,40,3,8,VOTE Agent[01]
2,talk,41,3,1,Over
2,talk,42,3,14,VOTE Agent[12]
2,talk,43,3,13,VOTE Agent[02]
2,talk,44,3,7,Skip
2,talk,45,3,9,Skip
2,talk,46,3,5,VOTE Agent[02]
2,talk,47,3,12,Over
2,talk,48,3,2,Over
2,talk,49,3,4,VOTE Agent[08]
2,talk,50,3,6,Skip
2,talk,51,3,11,VOTE Agent[02]
2,talk,52,4,1,Over
2,talk,53,4,15,Over
2,talk,54,4,13,Skip
2,talk,55,4,6,VOTE Agent[02]
2,talk,56,4,12,Over
2,talk,57,4,9,Over
2,talk,58,4,2,Over
2,talk,59,4,8,VOTE Agent[02]
2,talk,60,4,11,Skip
2,talk,61,4,4,VOTE Agent[09]
2,talk,62,4,5,Skip
2,talk,63,4,14,VOTE Agent[08]
2,talk,64,4,7,Over
2,talk,65,5,15,Over
2,talk,66,5,5,Skip
2,talk,67,5,1,Over
2,talk,68,5,14,VOTE Agent[04]
2,talk,69,5,12,Over
2,talk,70,5,4,VOTE Agent[14]
2,talk,71,5,7,Over
2,talk,72,5,9,Over
2,talk,73,5,11,Skip
2,talk,74,5,2,Over
2,talk,75,5,6,Skip
2,talk,76,5,8,Skip
2,talk,77,5,13,Skip
2,talk,78,6,11,Over
2,talk,79,6,13,Over
2,talk,80,6,6,Skip
2,talk,81,6,14,VOTE Agent[08]
2,talk,82,6,2,Over
2,talk,83,6,4,VOTE Agent[14]
2,talk,84,6,5,Over
2,talk,85,6,15,Over
2,talk,86,6,7,Over
2,talk,87,6,9,Over
2,talk,88,6,1,Over
2,talk,89,6,12,Over
2,talk,90,6,8,Skip
2,talk,91,7,4,VOTE Agent[14]
2,talk,92,7,8,Over
2,talk,93,7,9,Over
2,talk,94,7,1,Over
2,talk,95,7,7,Over
2,talk,96,7,13,Over
2,talk,97,7,11,Over
2,talk,98,7,6,Over
2,talk,99,7,12,Over
2,talk,100,7,15,Over
2,talk,101,7,2,Over
2,talk,102,7,5,Over
2,talk,103,7,14,VOTE Agent[08]
2,talk,104,8,14,VOTE Agent[08]
2,talk,105,8,6,Over
2,talk,106,8,1,Over
2,talk,107,8,15,Over
2,talk,108,8,5,Over
2,talk,109,8,12,Over
2,talk,110,8,8,Over
2,talk,111,8,2,Over
2,talk,112,8,9,Over
2,talk,113,8,13,Over
2,talk,114,8,11,Over
2,talk,115,8,7,Over
2,talk,116,8,4,VOTE Agent[08]
2,talk,117,9,2,Over
2,talk,118,9,5,Over
2,talk,119,9,12,Over
2,talk,120,9,15,Over
2,talk,121,9,1,Over
2,talk,122,9,11,Over
2,talk,123,9,6,Over
2,talk,124,9,4,Over
2,talk,125,9,14,Over
2,talk,126,9,8,Over
2,talk,127,9,7,Over
